,operand_1,operand_2,result,is_train,input_str,tokenized
0,0,0,0,True,0+0=0EOSPADPADPADPADPADPADPAD,"[0, 10, 0, 11, 0, 12, 13, 13, 13, 13, 13, 13, 13]"
1,0,1,1,True,0+1=1EOSPADPADPADPADPADPADPAD,"[0, 10, 1, 11, 1, 12, 13, 13, 13, 13, 13, 13, 13]"
2,0,2,2,True,0+2=2EOSPADPADPADPADPADPADPAD,"[0, 10, 2, 11, 2, 12, 13, 13, 13, 13, 13, 13, 13]"
3,0,3,3,True,0+3=3EOSPADPADPADPADPADPADPAD,"[0, 10, 3, 11, 3, 12, 13, 13, 13, 13, 13, 13, 13]"
4,0,4,4,True,0+4=4EOSPADPADPADPADPADPADPAD,"[0, 10, 4, 11, 4, 12, 13, 13, 13, 13, 13, 13, 13]"
5,0,5,5,True,0+5=5EOSPADPADPADPADPADPADPAD,"[0, 10, 5, 11, 5, 12, 13, 13, 13, 13, 13, 13, 13]"
6,0,6,6,True,0+6=6EOSPADPADPADPADPADPADPAD,"[0, 10, 6, 11, 6, 12, 13, 13, 13, 13, 13, 13, 13]"
7,0,7,7,False,0+7=7EOSPADPADPADPADPADPADPAD,"[0, 10, 7, 11, 7, 12, 13, 13, 13, 13, 13, 13, 13]"
8,0,8,8,False,0+8=8EOSPADPADPADPADPADPADPAD,"[0, 10, 8, 11, 8, 12, 13, 13, 13, 13, 13, 13, 13]"
9,0,9,9,True,0+9=9EOSPADPADPADPADPADPADPAD,"[0, 10, 9, 11, 9, 12, 13, 13, 13, 13, 13, 13, 13]"
10,1,0,1,True,1+0=1EOSPADPADPADPADPADPADPAD,"[1, 10, 0, 11, 1, 12, 13, 13, 13, 13, 13, 13, 13]"
11,1,1,2,True,1+1=2EOSPADPADPADPADPADPADPAD,"[1, 10, 1, 11, 2, 12, 13, 13, 13, 13, 13, 13, 13]"
12,1,2,3,True,1+2=3EOSPADPADPADPADPADPADPAD,"[1, 10, 2, 11, 3, 12, 13, 13, 13, 13, 13, 13, 13]"
13,1,3,4,True,1+3=4EOSPADPADPADPADPADPADPAD,"[1, 10, 3, 11, 4, 12, 13, 13, 13, 13, 13, 13, 13]"
14,1,4,5,False,1+4=5EOSPADPADPADPADPADPADPAD,"[1, 10, 4, 11, 5, 12, 13, 13, 13, 13, 13, 13, 13]"
15,1,5,6,True,1+5=6EOSPADPADPADPADPADPADPAD,"[1, 10, 5, 11, 6, 12, 13, 13, 13, 13, 13, 13, 13]"
16,1,6,7,True,1+6=7EOSPADPADPADPADPADPADPAD,"[1, 10, 6, 11, 7, 12, 13, 13, 13, 13, 13, 13, 13]"
17,1,7,8,False,1+7=8EOSPADPADPADPADPADPADPAD,"[1, 10, 7, 11, 8, 12, 13, 13, 13, 13, 13, 13, 13]"
18,1,8,9,True,1+8=9EOSPADPADPADPADPADPADPAD,"[1, 10, 8, 11, 9, 12, 13, 13, 13, 13, 13, 13, 13]"
19,1,9,10,True,1+9=10EOSPADPADPADPADPADPAD,"[1, 10, 9, 11, 1, 0, 12, 13, 13, 13, 13, 13, 13]"
20,2,0,2,True,2+0=2EOSPADPADPADPADPADPADPAD,"[2, 10, 0, 11, 2, 12, 13, 13, 13, 13, 13, 13, 13]"
21,2,1,3,True,2+1=3EOSPADPADPADPADPADPADPAD,"[2, 10, 1, 11, 3, 12, 13, 13, 13, 13, 13, 13, 13]"
22,2,2,4,True,2+2=4EOSPADPADPADPADPADPADPAD,"[2, 10, 2, 11, 4, 12, 13, 13, 13, 13, 13, 13, 13]"
23,2,3,5,True,2+3=5EOSPADPADPADPADPADPADPAD,"[2, 10, 3, 11, 5, 12, 13, 13, 13, 13, 13, 13, 13]"
24,2,4,6,True,2+4=6EOSPADPADPADPADPADPADPAD,"[2, 10, 4, 11, 6, 12, 13, 13, 13, 13, 13, 13, 13]"
25,2,5,7,True,2+5=7EOSPADPADPADPADPADPADPAD,"[2, 10, 5, 11, 7, 12, 13, 13, 13, 13, 13, 13, 13]"
26,2,6,8,True,2+6=8EOSPADPADPADPADPADPADPAD,"[2, 10, 6, 11, 8, 12, 13, 13, 13, 13, 13, 13, 13]"
27,2,7,9,True,2+7=9EOSPADPADPADPADPADPADPAD,"[2, 10, 7, 11, 9, 12, 13, 13, 13, 13, 13, 13, 13]"
28,2,8,10,False,2+8=10EOSPADPADPADPADPADPAD,"[2, 10, 8, 11, 1, 0, 12, 13, 13, 13, 13, 13, 13]"
29,2,9,11,True,2+9=11EOSPADPADPADPADPADPAD,"[2, 10, 9, 11, 1, 1, 12, 13, 13, 13, 13, 13, 13]"
30,3,0,3,False,3+0=3EOSPADPADPADPADPADPADPAD,"[3, 10, 0, 11, 3, 12, 13, 13, 13, 13, 13, 13, 13]"
31,3,1,4,False,3+1=4EOSPADPADPADPADPADPADPAD,"[3, 10, 1, 11, 4, 12, 13, 13, 13, 13, 13, 13, 13]"
32,3,2,5,True,3+2=5EOSPADPADPADPADPADPADPAD,"[3, 10, 2, 11, 5, 12, 13, 13, 13, 13, 13, 13, 13]"
33,3,3,6,False,3+3=6EOSPADPADPADPADPADPADPAD,"[3, 10, 3, 11, 6, 12, 13, 13, 13, 13, 13, 13, 13]"
34,3,4,7,False,3+4=7EOSPADPADPADPADPADPADPAD,"[3, 10, 4, 11, 7, 12, 13, 13, 13, 13, 13, 13, 13]"
35,3,5,8,True,3+5=8EOSPADPADPADPADPADPADPAD,"[3, 10, 5, 11, 8, 12, 13, 13, 13, 13, 13, 13, 13]"
36,3,6,9,True,3+6=9EOSPADPADPADPADPADPADPAD,"[3, 10, 6, 11, 9, 12, 13, 13, 13, 13, 13, 13, 13]"
37,3,7,10,False,3+7=10EOSPADPADPADPADPADPAD,"[3, 10, 7, 11, 1, 0, 12, 13, 13, 13, 13, 13, 13]"
38,3,8,11,True,3+8=11EOSPADPADPADPADPADPAD,"[3, 10, 8, 11, 1, 1, 12, 13, 13, 13, 13, 13, 13]"
39,3,9,12,True,3+9=12EOSPADPADPADPADPADPAD,"[3, 10, 9, 11, 1, 2, 12, 13, 13, 13, 13, 13, 13]"
40,4,0,4,False,4+0=4EOSPADPADPADPADPADPADPAD,"[4, 10, 0, 11, 4, 12, 13, 13, 13, 13, 13, 13, 13]"
41,4,1,5,True,4+1=5EOSPADPADPADPADPADPADPAD,"[4, 10, 1, 11, 5, 12, 13, 13, 13, 13, 13, 13, 13]"
42,4,2,6,True,4+2=6EOSPADPADPADPADPADPADPAD,"[4, 10, 2, 11, 6, 12, 13, 13, 13, 13, 13, 13, 13]"
43,4,3,7,True,4+3=7EOSPADPADPADPADPADPADPAD,"[4, 10, 3, 11, 7, 12, 13, 13, 13, 13, 13, 13, 13]"
44,4,4,8,True,4+4=8EOSPADPADPADPADPADPADPAD,"[4, 10, 4, 11, 8, 12, 13, 13, 13, 13, 13, 13, 13]"
45,4,5,9,True,4+5=9EOSPADPADPADPADPADPADPAD,"[4, 10, 5, 11, 9, 12, 13, 13, 13, 13, 13, 13, 13]"
46,4,6,10,True,4+6=10EOSPADPADPADPADPADPAD,"[4, 10, 6, 11, 1, 0, 12, 13, 13, 13, 13, 13, 13]"
